county_fips,county_code,county_name,year,temp_avg,precip_total,state_name,state_abbr,state_fips,county_name_fema,county_fips_3,county_fips_raw,risk_value,risk_score,risk_rating,eal_value_total,eal_score,eal_rating,sovi_score,sovi_rating,resl_score,resl_rating,drought_risk_value,drought_risk_score,drought_risk_rating,inland_flood_risk_value,inland_flood_risk_score,inland_flood_risk_rating,wildfire_risk_value,wildfire_risk_score,wildfire_risk_rating,heatwave_risk_value,heatwave_risk_score,heatwave_risk_rating,winter_weather_risk_value,winter_weather_risk_score,winter_weather_risk_rating,nri_version,state_name_census,county_name_census,pop_total,npopchg,net_mig_census,pop_growth_rate,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,net_migration_returns,net_migration_exemptions
27015,MN-015,Brown County,2022,46.24166666666667,290.7,Minnesota,MN,27,Brown,15,27015,17072246.629496034,50.38167938931297,Relatively Low,24444962.78596848,66.83168316831683,Relatively Low,11.38676845,Very Low,98.88676844783714,Very High,408002.5222951556,64.8854961832061,Relatively Moderate,5857483.934008418,44.465648854961835,Relatively Low,10369.023301848489,24.07760814249364,Very Low,271155.38017035625,42.67822736030829,Relatively Low,238138.6988538544,81.73138128580521,Relatively Moderate,December 2025,Minnesota,Brown County,25703,-201,-115,-0.775941939468805,,,,,,
27015,MN-015,Brown County,2023,45.50833333333333,311.77,Minnesota,MN,27,Brown,15,27015,17072246.629496034,50.38167938931297,Relatively Low,24444962.78596848,66.83168316831683,Relatively Low,11.38676845,Very Low,98.88676844783714,Very High,408002.5222951556,64.8854961832061,Relatively Moderate,5857483.934008418,44.465648854961835,Relatively Low,10369.023301848489,24.07760814249364,Very Low,271155.38017035625,42.67822736030829,Relatively Low,238138.6988538544,81.73138128580521,Relatively Moderate,December 2025,Minnesota,Brown County,25628,-75,-29,-0.2917947321324332,13218.0,25302.0,13635.0,25674.0,-417.0,-372.0
27017,MN-017,Carlton County,2020,39.68333333333333,387.69,Minnesota,MN,27,Carlton,17,27017,29886940.07050144,70.06997455470739,Relatively Low,31690534.659615505,73.85519801980197,Relatively Low,27.48091603,Relatively Low,90.77608142493636,Very High,35879.03213337001,33.078880407124686,Relatively Low,10767435.960270775,63.963104325699746,Relatively Low,29524.22954661372,40.99872773536896,Very Low,638860.2892548773,61.30378933847142,Relatively Low,61696.36742551823,47.64481222151496,Relatively Low,December 2025,Minnesota,Carlton County,36190,-10,-23,,,,,,,
27017,MN-017,Carlton County,2021,41.125,306.49,Minnesota,MN,27,Carlton,17,27017,29886940.07050144,70.06997455470739,Relatively Low,31690534.659615505,73.85519801980197,Relatively Low,27.48091603,Relatively Low,90.77608142493636,Very High,35879.03213337001,33.078880407124686,Relatively Low,10767435.960270775,63.963104325699746,Relatively Low,29524.22954661372,40.99872773536896,Very Low,638860.2892548773,61.30378933847142,Relatively Low,61696.36742551823,47.64481222151496,Relatively Low,December 2025,Minnesota,Carlton County,36455,265,341,0.732246476927334,,,,,,
27017,MN-017,Carlton County,2022,39.00833333333333,343.66,Minnesota,MN,27,Carlton,17,27017,29886940.07050144,70.06997455470739,Relatively Low,31690534.659615505,73.85519801980197,Relatively Low,27.48091603,Relatively Low,90.77608142493636,Very High,35879.03213337001,33.078880407124686,Relatively Low,10767435.960270775,63.963104325699746,Relatively Low,29524.22954661372,40.99872773536896,Very Low,638860.2892548773,61.30378933847142,Relatively Low,61696.36742551823,47.64481222151496,Relatively Low,December 2025,Minnesota,Carlton County,36738,283,421,0.7762995473871825,,,,,,
27017,MN-017,Carlton County,2023,40.2,349.02,Minnesota,MN,27,Carlton,17,27017,29886940.07050144,70.06997455470739,Relatively Low,31690534.659615505,73.85519801980197,Relatively Low,27.48091603,Relatively Low,90.77608142493636,Very High,35879.03213337001,33.078880407124686,Relatively Low,10767435.960270775,63.963104325699746,Relatively Low,29524.22954661372,40.99872773536896,Very Low,638860.2892548773,61.30378933847142,Relatively Low,61696.36742551823,47.64481222151496,Relatively Low,December 2025,Minnesota,Carlton County,36694,-44,114,-0.1197669987478944,17624.0,34300.0,17731.0,34054.0,-107.0,246.0
27019,MN-019,Carver County,2020,45.03333333333333,413.6,Minnesota,MN,27,Carver,19,27019,21988778.65096536,59.66921119592875,Relatively Low,41418701.397349946,80.47648514851485,Relatively Low,10.62340967,Very Low,99.55470737913484,Very High,49027.993097250524,36.22773536895674,Relatively Low,9544749.447211787,60.36895674300254,Relatively Low,25895.21390310552,39.34478371501272,Very Low,1135457.3883423407,73.7315350032113,Relatively Low,66131.32216238434,49.71355824315722,Relatively Low,December 2025,Minnesota,Carver County,107308,389,241,,,,,,,
27019,MN-019,Carver County,2021,46.5,301.87,Minnesota,MN,27,Carver,19,27019,21988778.65096536,59.66921119592875,Relatively Low,41418701.397349946,80.47648514851485,Relatively Low,10.62340967,Very Low,99.55470737913484,Very High,49027.993097250524,36.22773536895674,Relatively Low,9544749.447211787,60.36895674300254,Relatively Low,25895.21390310552,39.34478371501272,Very Low,1135457.3883423407,73.7315350032113,Relatively Low,66131.32216238434,49.71355824315722,Relatively Low,December 2025,Minnesota,Carver County,108911,1603,1054,1.4938308420620938,,,,,,
27019,MN-019,Carver County,2022,45.19166666666666,282.94,Minnesota,MN,27,Carver,19,27019,21988778.65096536,59.66921119592875,Relatively Low,41418701.397349946,80.47648514851485,Relatively Low,10.62340967,Very Low,99.55470737913484,Very High,49027.993097250524,36.22773536895674,Relatively Low,9544749.447211787,60.36895674300254,Relatively Low,25895.21390310552,39.34478371501272,Very Low,1135457.3883423407,73.7315350032113,Relatively Low,66131.32216238434,49.71355824315722,Relatively Low,December 2025,Minnesota,Carver County,110174,1263,814,1.159662476701162,,,,,,
27019,MN-019,Carver County,2023,45.55833333333334,296.21,Minnesota,MN,27,Carver,19,27019,21988778.65096536,59.66921119592875,Relatively Low,41418701.397349946,80.47648514851485,Relatively Low,10.62340967,Very Low,99.55470737913484,Very High,49027.993097250524,36.22773536895674,Relatively Low,9544749.447211787,60.36895674300254,Relatively Low,25895.21390310552,39.34478371501272,Very Low,1135457.3883423407,73.7315350032113,Relatively Low,66131.32216238434,49.71355824315722,Relatively Low,December 2025,Minnesota,Carver County,111076,902,401,0.8187049576125149,58064.0,123903.0,58000.0,121629.0,64.0,2274.0
