county_fips,county_code,county_name,year,temp_avg,precip_total
27091,MN-091,Martin County,2014,42.550000000000004,324.1
27091,MN-091,Martin County,2015,44.99166666666667,334.62
27091,MN-091,Martin County,2016,48.041666666666664,464.11
27091,MN-091,Martin County,2017,47.96666666666667,435.33
27091,MN-091,Martin County,2018,44.324999999999996,450.01
27091,MN-091,Martin County,2019,43.199999999999996,531.22
27091,MN-091,Martin County,2020,45.324999999999996,416.21999999999997
27091,MN-091,Martin County,2021,46.708333333333336,282.33
27091,MN-091,Martin County,2022,46.166666666666664,321.37
27091,MN-091,Martin County,2023,45.791666666666664,330.99
27093,MN-093,Meeker County,2011,43.025,416.79
27093,MN-093,Meeker County,2012,47.99166666666667,305.96
27093,MN-093,Meeker County,2013,43.0,305.92
27093,MN-093,Meeker County,2014,40.175,343.8
27093,MN-093,Meeker County,2015,43.30833333333334,312.12
27093,MN-093,Meeker County,2016,46.85833333333333,358.09000000000003
27093,MN-093,Meeker County,2017,46.1,355.84000000000003
27093,MN-093,Meeker County,2018,42.9,323.47
27093,MN-093,Meeker County,2019,41.34166666666667,381.03000000000003
27093,MN-093,Meeker County,2020,43.324999999999996,321.96000000000004
27093,MN-093,Meeker County,2021,45.00833333333333,216.63
27093,MN-093,Meeker County,2022,43.425000000000004,275.24
27093,MN-093,Meeker County,2023,43.69166666666666,261.49
27095,MN-095,Mille Lacs County,2011,42.00833333333333,458.19
27095,MN-095,Mille Lacs County,2012,46.31666666666666,378.53999999999996
27095,MN-095,Mille Lacs County,2013,41.96666666666667,350.65999999999997
27095,MN-095,Mille Lacs County,2014,38.641666666666666,433.61
27095,MN-095,Mille Lacs County,2015,42.166666666666664,395.08
27095,MN-095,Mille Lacs County,2016,45.75833333333333,415.36
27095,MN-095,Mille Lacs County,2017,44.833333333333336,427.37
27095,MN-095,Mille Lacs County,2018,41.5,375.86
27095,MN-095,Mille Lacs County,2019,40.63333333333333,407.06
27095,MN-095,Mille Lacs County,2020,42.59166666666667,383.73
27095,MN-095,Mille Lacs County,2021,44.0,299.05
27095,MN-095,Mille Lacs County,2022,42.125,320.94
27095,MN-095,Mille Lacs County,2023,43.050000000000004,322.65
